countries,Region:,image,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Georgia,,,1410322,1423236,1436267,1449418,1462689,1476082,1489597,1503236,1517000,1530890,1544908,1559053,1573328,1587734,1602272,1616942,1631748,1646688,1661766,1676981,1692336,1707832,1723469,1739249,1755174,1771245,1787463,1803829,1820346,1837013,1853833,1870807,1887937,1905223,1922668,1940273,1958038,1975966,1994059,2012317,2030742,2049336,2068100,2087036,2106146,2125430,2144891,2164530,2184349,2204349,2224533,2244901,2265456,2286199,2307132,2328256,2349575,2371088,2392798,2414707,2436817,2459129,2481645,2504367,2527298,2550438,2573791,2597357,2621192,2645246,2669520,2694017,2718739,2743688,2768866,2794274,2819916,2845794,2871908,2898263,2924859,2951699,2978786,3006121,3033707,3061546,3089641,3117993,3146606,3175481,3204621,3234029,3263706,3293656,3323880,3354382,3385164,3416228,3447578,3484458,3517266,3557573,3599593,3643532,3689453,3738237,3791736,3849924,3912809,3980076,4051494,4125757,4201158,4276896,4350041,4418594,4492699,4575005,4658103,4739870,4800427,4837339,4870399,4903553,4936543,4970321,5005133,5040805,5077053,5111671,5145847,5181896,5219542,5259449,5299790,5338865,5377678,5415391,5450142,5445485,5391635,5322103,5239325,5127512,4997912,4877682,4761277,4640033,4518407,4394505,4265175,4144485,4061127,4017826,3988861,3961183,3933866,3906476,3879701,3855203,3836834,3821667,3804358,3786025,3774232,3771135,3771112,3771904,3772323,3770814,3765912,3757984
Germany,Europe,https://public.flourish.studio/country-flags/svg/de.svg,33717866,33970411,34214795,34450874,34688580,34927923,35168915,35411567,35655890,35915420,36190385,36481013,36787538,37110194,37435677,37764012,38095224,38429338,38766380,39121267,39494319,39885860,40296219,40725727,41159810,41598517,42041897,42489999,42942875,43388996,43828181,44260243,44684993,45102238,45523375,45948441,46377473,46810508,47247582,47730525,48260349,48838083,49464772,50141481,50827444,51522787,52227640,52942131,53666393,54413956,55185341,55981081,56801719,57647806,58506492,59377964,60262412,61160030,62071014,62767668,63247408,63507611,63545612,63358703,63172340,62986521,62801243,62616506,62415473,62337715,62383655,62553720,62848341,63267954,63690369,64115604,64543678,64974611,65408420,65850348,66300486,66758925,67225759,67701081,68179764,68661832,69147308,69636216,70128582,70493827,70731329,70840459,70820585,70671068,70521868,70372982,70224410,70076152,69928207,69891436,70964104,70820040,70808376,70879448,71020736,71222632,71473272,71771632,72136480,72578952,73063696,73604352,74194424,74796216,75423248,76037464,76618720,77173552,77646128,78012488,78294592,78511408,78643560,78667472,78620536,78513512,78364216,78221280,78071552,77915728,77786696,77684488,77610424,77566064,77568576,77638808,77803352,78090896,78477528,78916440,79370192,79801984,80205024,80573496,80882120,81123264,81300864,81436096,81524384,81556968,81551680,81514568,81443424,81346808,81266672,81212168,81177816,81183832,81217488,81260624,81325088,81423384,81545568,81680592,81858824,82073232,82331432,82624368,82896696,83148144,83328992,83408560
Ghana,,,1988311,1993031,2000193,2009804,2019459,2029160,2038907,2048699,2058537,2068425,2078362,2088348,2098385,2108472,2118606,2128787,2139017,2149295,2159621,2170536,2182048,2194160,2206880,2220213,2233625,2247117,2260689,2274342,2288077,2302515,2317666,2333538,2350140,2367479,2384945,2402539,2420261,2438113,2456095,2474557,2493504,2512944,2532881,2553323,2573929,2594699,2615636,2636740,2658013,2679458,2701076,2722869,2744839,2766986,2789310,2811813,2834496,2857360,2880407,2902786,2924488,2945501,2965814,2985418,3005150,3025010,3045000,3065120,3087665,3115166,3147731,3185471,3228498,3276925,3326079,3375970,3426609,3478008,3530178,3582404,3634675,3686983,3739317,3791668,3844751,3898578,3953158,4008502,4064621,4124869,4189363,4258223,4331575,4409543,4488915,4569715,4651970,4735706,4820948,4920872,5077600,5220301,5373388,5535164,5706211,5887163,6077350,6275803,6479014,6690095,6911514,7109036,7281192,7458244,7640202,7827728,8019660,8216093,8418152,8629853,8861897,9108881,9365950,9637207,9918984,10209847,10509008,10825498,11163231,11515680,11865256,12212964,12584976,12984137,13342483,13651444,13971683,14310795,14671683,15052443,15446987,15843473,16241548,16643639,17040850,17438882,17844012,18268044,18714708,19176800,19665506,20195584,20758324,21329520,21906448,22496952,23098590,23708328,24326092,24950768,25574722,26205940,26858760,27525586,28196356,28870946,29554298,30222266,30870648,31522294,32180402,32833036
Greece,,,3044219,3072718,3101471,3130480,3159761,3189315,3219146,3249256,3279648,3310341,3341341,3372649,3404268,3436202,3468435,3500971,3533812,3566960,3600420,3634931,3670510,3707177,3744948,3783842,3823140,3862846,3902964,3943499,3984455,4025818,4067591,4109778,4152385,4195414,4238890,4282815,4327196,4372037,4417342,4463129,4509403,4556170,4603435,4651202,4699466,4748229,4797499,4847280,4897577,4945162,4989983,5031988,5071122,5107334,5143803,5180533,5217526,5254782,5292304,5330021,5367935,5406045,5444353,5482860,5521640,5560693,5600023,5639630,5678674,5722537,5771301,5825051,5883871,5947848,6012521,6077897,6143984,6210789,6278321,6350272,6426741,6507828,6593636,6684268,6776147,6869288,6963710,7059429,7156464,7240297,7310690,7367402,7410187,7438799,7467522,7496355,7525300,7554357,7583525,7621631,7669097,7766347,7863884,7959594,8052769,8146025,8234417,8313968,8385152,8447074,8495419,8526467,8540807,8541794,8534890,8526265,8520636,8518064,8518841,8526141,8544874,8576110,8616664,8666390,8729703,8805416,8890429,8983231,9084305,9194179,9307159,9418999,9528819,9636354,9740384,9840144,9936729,10029145,10120189,10211975,10302255,10391552,10478389,10563442,10647420,10727928,10803809,10875274,10939474,10993861,11038112,11072182,11096620,11110488,11115089,11113450,11106097,11091491,11073621,11055503,11033784,11004730,10963633,10914501,10862972,10806644,10749742,10692230,10633275,10574026,10512232,10445368
Grenada,,,32863,32849,32789,32684,32579,32474,32370,32266,32162,32189,32349,32643,33074,33642,34221,34809,35408,36016,36636,37210,37739,38221,38654,39038,39425,39816,40211,40610,41012,41532,42172,42937,43829,44855,45904,46978,48077,49201,50352,51466,52540,53573,54562,55506,56465,57442,58435,59446,60474,61379,62157,62807,63325,63707,64091,64478,64867,65258,65652,65946,66140,66234,66227,66118,66009,65901,65793,65685,65586,65744,66164,66849,67805,69035,70288,71563,72861,74183,75529,76820,78056,79233,80350,81404,82472,83554,84651,85761,86887,87489,87572,87136,86183,84717,83275,81858,80465,79096,77750,76945,77044,77452,78387,79575,81002,82679,84613,86794,89178,91702,93792,95119,96071,96900,97630,98240,98711,98995,99076,98996,98815,98557,98245,97902,97542,97187,96801,96347,95828,95259,94857,95239,96552,98192,99631,100594,100909,100616,99898,99238,99066,99778,101054,102190,103194,104075,104862,105563,106214,106841,107442,107945,108246,108750,109529,110268,111006,111740,112497,113260,114058,114933,115930,116954,117986,118994,119973,120934,121853,122737,123672,124624
Guatemala,,,846846,859858,871940,883058,894317,905719,917266,928960,940802,952795,964941,977240,989696,1002311,1015085,1028022,1041123,1054391,1067827,1081573,1095633,1110014,1124721,1139762,1155004,1170448,1186099,1201958,1218029,1233847,1249401,1264684,1279686,1294396,1309275,1324324,1339546,1354942,1370514,1381893,1389046,1391939,1390538,1384809,1379103,1373419,1367759,1362121,1356505,1354985,1357590,1364351,1375301,1390471,1405807,1421312,1436987,1452835,1468857,1485049,1501413,1517952,1534666,1551559,1568636,1585901,1603355,1621000,1637748,1654691,1671829,1689167,1706706,1724447,1742374,1760486,1778787,1797279,1815962,1839116,1866879,1899397,1936815,1979286,2022689,2067043,2112369,2158690,2206026,2258316,2315787,2378675,2447226,2521695,2598430,2677499,2758975,2842930,2929440,3020057,3099871,3185855,3276113,3368491,3462957,3560248,3660608,3764484,3870644,3981257,4098362,4220371,4346335,4475720,4608500,4744468,4882546,5022622,5164911,5308300,5453206,5598298,5744610,5895105,6048169,6201738,6342734,6487157,6648774,6814727,6987769,7165508,7332796,7512051,7718977,7932187,8148187,8369362,8600110,8839546,9084779,9329564,9576630,9831871,10094917,10363096,10632295,10905387,11184035,11463503,11735893,12009197,12289867,12570507,12852433,13132818,13412401,13696609,13979451,14259415,14543126,14833458,15128307,15422663,15713744,16001105,16291004,16578718,16850176,17106338,17362716,17608484
Guinea,,,1030853,1036884,1043676,1051237,1058848,1066509,1074220,1081981,1089793,1097877,1106237,1114877,1123801,1133014,1142297,1151650,1161075,1170571,1180140,1190020,1200218,1210739,1221587,1232768,1244047,1255422,1266896,1278469,1290142,1301916,1313791,1325769,1337850,1350036,1362326,1374723,1387226,1399836,1412556,1424811,1436591,1447888,1458691,1468990,1479356,1489789,1500289,1510857,1521493,1532814,1544831,1557556,1571000,1585176,1599473,1613893,1628436,1643104,1657897,1673154,1688883,1705091,1721787,1738980,1756338,1773862,1791554,1809416,1823891,1841818,1863280,1888364,1917157,1949749,1982895,2016604,2050886,2085752,2121209,2155954,2189955,2223181,2255599,2287177,2319198,2351666,2384590,2417974,2451825,2488167,2527070,2568608,2612855,2659886,2707764,2756504,2806121,2856631,2908051,2960150,2983566,3032444,3081460,3131204,3181974,3234063,3287542,3342379,3398845,3456956,3516819,3578635,3642328,3707953,3775518,3845082,3916786,3990768,4067337,4145193,4222383,4298097,4372214,4445211,4517078,4588011,4658741,4730377,4804926,4885202,4972611,5067436,5170741,5282281,5402102,5531667,5671383,5820777,5977177,6136172,6354146,6615740,6832196,7046101,7262110,7468350,7683120,7842811,7992557,8174900,8336973,8445722,8577787,8772259,8961046,9140112,9330632,9547087,9779793,10021319,10270728,10527711,10788696,11055433,11333362,11626003,11930991,12240791,12554871,12877537,13205157,13531909
Guinea-Bissau,,,211038,211524,212189,213034,213881,214732,215586,216443,217303,218210,219165,220167,221218,222318,223423,224533,225648,226769,227895,229165,230580,232142,233853,235715,237593,239484,241391,243313,245249,247201,249169,251151,253149,255163,257193,259238,261300,263378,265472,267582,269709,271853,274013,276191,278385,280597,282826,285072,287336,289618,291917,294235,296571,298925,301297,303688,306098,308527,310974,313378,315736,318050,320316,322535,324769,327019,329284,331564,333553,336162,339403,343290,347835,353053,358349,363724,369180,374717,380338,385965,391597,397232,402871,408511,414230,420029,425909,431872,437918,444409,451358,458777,466680,475080,483631,492337,501199,510220,519404,527818,543421,549492,553619,557291,560619,563715,566667,569518,572323,575112,577942,583119,590408,595807,590490,577647,570383,573388,583485,587887,591665,594509,595955,603213,623578,659640,701025,746594,794333,821605,831469,844965,858639,872403,886217,900091,914138,928415,943086,958245,973557,993861,1022910,1056767,1089623,1117229,1140610,1162451,1184074,1206478,1230855,1257390,1285682,1315670,1347012,1379714,1414094,1450574,1488437,1527207,1567226,1609025,1652720,1697757,1743318,1788931,1834554,1879835,1924954,1970460,2015839,2060730
Guyana,,,127122,129487,131582,133396,135236,137100,138990,140906,142849,145178,147910,151059,154639,158668,162801,167042,171393,175857,180438,185142,189974,194937,200035,205270,210642,216155,221812,227617,233573,238841,243395,247210,250259,252514,254791,257087,259404,261742,264100,266468,268844,271230,273624,276027,278451,280896,283362,285850,288360,290286,291626,292375,292530,292087,291645,291203,290761,290320,289879,289477,289113,288787,288499,288249,287999,287749,287499,287249,287249,287380,287642,288036,288562,289219,289878,290539,291201,291865,292530,293710,295412,297642,300408,303717,307062,310443,313862,317319,320814,325015,329944,335623,342076,349326,356730,364291,372012,379896,387948,396823,417734,428410,440360,453477,467826,483327,499845,517283,535519,554201,571994,588614,604845,620709,635967,650215,663248,675072,685891,695928,705266,713911,721999,729873,737710,745593,753558,761388,768621,774490,778187,779698,779640,778377,776012,772680,768519,763716,758455,752908,747124,744102,744999,747196,749553,751702,753577,755215,756705,758021,759059,759816,760326,760569,760428,759713,758376,756528,754159,751265,747937,744235,743970,747424,751126,755043,759097,763265,785518,798761,797207,804571
Haiti,,,938934,948501,958452,968793,979247,989812,1000491,1011286,1022196,1033224,1044370,1055636,1067024,1078534,1090168,1101927,1113813,1125826,1137969,1150237,1162630,1175152,1187802,1200582,1213500,1226556,1239752,1253090,1266571,1280197,1293969,1307888,1321957,1336177,1350550,1365077,1379759,1394599,1409599,1424759,1440082,1455569,1471222,1487044,1503035,1519197,1535533,1552045,1568733,1587107,1607208,1629080,1652767,1678313,1704254,1730595,1757342,1784503,1812083,1840560,1869956,1900295,1931598,1963890,1996721,2030100,2064037,2098541,2132500,2165702,2198119,2229719,2260472,2290346,2320614,2351283,2382357,2413842,2445743,2477866,2510212,2542780,2575572,2608587,2642025,2675892,2710193,2744934,2780120,2815247,2850309,2885298,2920207,2955029,2990267,3025925,3062007,3098521,3135469,3176350,3247240,3301803,3358721,3418649,3480980,3546005,3613976,3683632,3754882,3827753,3901147,3974940,4049509,4122264,4196353,4274354,4352962,4432721,4514010,4596648,4680817,4766425,4853118,4940713,5030663,5124563,5222352,5323835,5428673,5536428,5646680,5760199,5877684,5997741,6119933,6245542,6375104,6508351,6644968,6784163,6925335,7066064,7205779,7345942,7486096,7627320,7770602,7915177,8060901,8208943,8360224,8511728,8661546,8812248,8961495,9111901,9266293,9420832,9575251,9730646,9842883,9954318,10108541,10261205,10412741,10563762,10713845,10863546,11012427,11160441,11306804,11447575
Honduras,,,345020,351237,355859,358816,361797,364802,367831,370885,373964,377068,380198,383353,386534,389741,392973,396233,399518,402831,406170,406709,404494,399571,391986,381780,371840,362158,352727,343542,334596,329281,327601,329561,335169,344437,353961,363748,373804,384139,394759,405360,415936,426477,436974,447417,458109,469057,480265,491741,503490,515389,527437,539636,551985,564484,577266,590337,603703,617371,631348,644803,657710,670042,681772,692869,704146,715606,727252,739087,750343,763762,779433,797447,817901,840891,864528,888829,913813,939499,965907,991258,1015487,1038528,1060311,1080764,1101611,1122860,1144519,1166596,1189098,1212738,1237551,1263577,1290856,1319427,1348631,1378482,1408993,1440179,1472056,1507512,1557940,1602234,1648145,1695869,1745351,1796536,1849402,1904021,1960498,2018746,2078624,2139932,2202865,2267717,2334493,2403468,2474533,2547504,2622991,2701384,2782756,2867507,2956027,3046721,3136544,3231637,3334817,3441121,3550374,3662745,3777994,3895738,4015648,4137786,4261929,4387696,4515574,4645740,4778119,4913683,5053235,5196892,5344774,5496843,5652937,5812836,5976553,6144117,6308539,6477370,6656727,6837861,7019912,7201883,7383408,7564615,7745204,7924462,8101776,8277309,8450936,8622510,8792370,8960654,9127851,9294510,9460798,9626845,9792854,9958832,10121762,10278346
Hong Kong,Asia,,38893,40809,42924,45251,47808,50610,53676,57025,60678,64656,68982,73449,77979,82570,87220,91924,96680,101483,106328,111211,116125,123591,128603,133411,137988,142301,146317,150446,154692,159057,163546,168161,172906,177785,182802,187961,193428,199218,205347,211830,218684,225927,233576,241651,250170,259156,268628,278446,288622,299170,310103,321434,333180,345354,357972,371051,384607,398658,413223,428529,444627,457457,474170,492259,511867,533129,555405,578697,602922,628155,637576,642959,649688,673576,702848,716979,726736,736157,761390,793690,822961,861989,896308,931299,953168,975037,1088758,1261358,1517734,1687306,1741138,1697668,1636031,1617865,1599900,1582134,1637647,1715904,1819195,1894559,1980530,2075517,2173606,2275015,2380483,2490495,2606308,2728466,2855689,2985061,3114676,3231766,3331193,3424355,3514767,3602032,3684669,3762176,3834048,3898385,3955076,4028605,4128332,4234756,4342778,4451227,4558871,4664905,4768799,4872751,4978551,5077744,5166910,5252129,5333577,5411686,5492797,5578536,5665618,5752711,5838573,5923453,6007690,6089809,6168709,6243859,6333446,6441245,6546051,6641959,6731195,6801538,6848847,6886463,6915997,6936872,6960600,7001452,7050673,7094600,7132437,7175370,7234062,7296820,7352180,7399845,7435925,7461508,7481563,7496121,7500955,7494580
Hungary,,,5159819,5195874,5231698,5267286,5303117,5339191,5375511,5412077,5448892,5485958,5523276,5560848,5598675,5636759,5675103,5713707,5752574,5791706,5831103,5869333,5906380,5942228,5976861,6010261,6043849,6077624,6111588,6145741,6180086,6214622,6249351,6284275,6319393,6354708,6390220,6425931,6461841,6497951,6534264,6573068,6614395,6658275,6704740,6753821,6803261,6853063,6903229,6953762,7004666,7055446,7106099,7156620,7207005,7257249,7307843,7358790,7410092,7461752,7513772,7561439,7604704,7643518,7677833,7707599,7737480,7767477,7797591,7827821,7858606,7896688,7942157,7995102,8055615,8123788,8192538,8261870,8331788,8402298,8473405,8542839,8610568,8676563,8740792,8803224,8866102,8929428,8993207,9057442,9122136,9175088,9216208,9245404,9262586,9267660,9272737,9277816,9282899,9287984,9293072,9309622,9337718,9423047,9503843,9594226,9704531,9823339,9854134,9837654,9879817,9936025,9982618,10025842,10057460,10083331,10114177,10140858,10170086,10206829,10244346,10281127,10315367,10345368,10376619,10410508,10457951,10520241,10578511,10627916,10664861,10692722,10698682,10680617,10655628,10620933,10580910,10542756,10505773,10469197,10434269,10397176,10375989,10374750,10370067,10357423,10342435,10327171,10308272,10286223,10260965,10230263,10202054,10177955,10148404,10118060,10094499,10073533,10057063,10041171,10023508,10008581,9986832,9953247,9922133,9894637,9867906,9844250,9815106,9788940,9776361,9771799,9750571,9709784
Iceland,Europe,,59333,59869,60521,61291,62071,62861,63661,64471,65291,66009,66624,67132,67533,67825,68118,68412,68708,69004,69302,69580,69836,70072,70286,70480,70673,70868,71063,71258,71454,71590,71666,71681,71636,71531,71426,71321,71216,71112,71007,71057,71261,71621,72139,72815,73498,74187,74883,75585,76293,77050,77857,78714,79622,80582,81555,82538,83534,84542,85562,86571,87569,88556,89530,90493,91465,92449,93442,94447,95469,96499,97539,98587,99643,100709,101786,102875,103975,105087,106211,107343,108482,109629,110785,111948,113123,114311,115511,116724,117949,119339,120898,122631,124541,126633,128761,130924,133124,135361,137635,140065,142666,145405,147760,150753,154269,157742,161070,164742,168486,172011,175583,179038,182425,185778,189102,192322,195540,198733,201483,203348,204483,206184,209199,212377,215291,218080,220256,221898,223646,225864,228276,230891,234003,237139,239680,241589,243367,246041,249920,253054,255026,257995,261275,263942,266230,267689,269140,271363,274292,277634,281469,285245,287799,289806,292364,297037,304086,311859,317722,318809,318346,319308,320988,324036,327650,331068,335677,343641,352951,360787,366682,370338
India,Asia,https://public.flourish.studio/country-flags/svg/in.svg,235732435,236722812,237693556,238644470,239599135,240557565,241519775,242485780,243455595,244429232,245406706,246388032,247373226,248362301,249355276,250352166,251352986,252357751,253366477,254283265,255107500,255838563,256475832,257018683,257562626,258107664,258653799,259201033,259749368,260650638,261908874,263528141,265512544,267866225,270240712,272636189,275052841,277490853,279950415,282052078,283791657,285164933,286167644,286795490,287424652,288055133,288686934,289320059,289954511,290840108,291979136,293373897,295026710,296939909,298865451,300803415,302753881,304716930,306692643,308378771,309772810,310872238,311674516,312177087,312680404,313184465,313689273,314194829,314556958,315455236,316895450,318883445,321425121,324526435,327657673,330819124,334011077,337233829,340487677,344079020,348015421,352304571,356954300,361972574,367061397,372221763,377454675,382761156,388142237,391883882,393975786,394407406,393167957,390246408,387346568,384468277,381611373,378775698,375961095,375136619,357021120,364922368,372997184,381227712,389731392,398577984,407656608,416935392,426295776,435900352,445954560,456351872,467024192,477933632,489059296,500114336,510992608,521987072,533431904,545314688,557501312,569999168,582837952,596107456,609721920,623524224,637451456,651685632,666267776,681248384,696828352,712869312,729169472,745826560,762895168,780242112,797878976,815716160,833729664,852012672,870452160,888941760,907574080,926351296,945261952,964279104,983281216,1002335232,1021434560,1040500032,1059633664,1078970880,1098313088,1117415168,1136264576,1154638720,1172373760,1189691776,1206734848,1223640192,1240613632,1257621248,1274487168,1291132032,1307246464,1322866560,1338636288,1354195712,1369003264,1383112064,1396387072,1407563904
